id,location_id,organization_id,attention,address_1,city,region,state_province,postal_code,country
,,131321,,"Illinois Equal Justice Foundation180 North Stetson, Suite 820Chicago",,,IL,60601,
,,127446,,150 Court Street2nd FloorBrooklyn,,,NY,11201,
,,25686,,67 East Madison StreetSuite 2000Chicago,,,IL,60603,
,,25741,,P.O. Box 726Homewood,,,IL,60430,
,,25796,,100 North LaSalle StreetSuite 600Chicago,,,IL,60602,
,,25911,,"167 N. Ottawa Street, 2nd FloorJoliet",,,IL,60432,
,,25506,,PO Box 731Glenview,,,IL,60091,
,,25516,,800 East Northwest HighwaySuite 418Palitine,,,IL,60074,
,,25561,,411 Hamilton Blvd.Suite 1618Peoria,,,IL,61602,
,,25611,,7115 W. North Ave #253Oak Park,,,IL,60302,
,,25651,,11 East Adams StreetSuite 500Chicago,,,IL,60603,
,,25181,,208 S. Jefferson StreetSuite 204Chicago,,,IL,60661,
,,25186,,77 W Washington StSuite 1820Chicago,,,IL,60602,
,,25196,,P.O. Box 571Geneva,,,IL,60134,
,,25231,,120 South LaSalle StreetSuite 900Chicago,,,IL,60603,
,,25236,,300 Grand Ave STE AWaukegan,,,IL,60085,
,,25246,,105 W. AdamsSuite 2600Chicago,,,IL,60603,
,,25321,,P.O. Box 64933Chicago,,,IL,60664,
,,25326,,70 East Lake StreetSuite 600Chicago,,,IL,60601,
,,24996,,205 West Randolph StreetSuite 510Chicago,,,IL,60606,
,,25031,,20 S. Clark St.Suite 910Chicago,,,IL,60603,
,,25046,,55 East Jackson BoulevardSuite 2075Chicago,,,IL,60604,
,,25076,,"Pension Action Center, Gerontology InstituteUniversity of Massachusetts Boston 100 Morrissey Blvd.Boston",,,MA,02125,
,,24726,,"17th N. State13th Floor, Suite #1380Chicago",,,IL,60602,
,,24741,,19 S. LaSalle StreetSuite 702Chicago,,,IL,60603,
,,24791,,25 East Jackson Blvd.Chicago,,,IL,60604,
,,24836,,126 S. County Farm Rd.Wheaton,,,IL,60187,
,,24876,,20 North Michigan AvenueSuite 300Chicago,,,IL,60602,
,,24886,,70 East Lake StreetSuite 1100Chicago,,,IL,60601,
,,24561,,17 North State StreetSuite 1850Chicago,,,IL,60602,
,,24631,,70 East Lake StreetSuite 720Chicago,,,IL,60601,
,,24641,,100 North LaSalle StreetSuite 600Chicago,,,IL,60602,
,,24646,,211 West Wacker DriveSuite 750Chicago,,,IL,60617,